"","Player","Year","Gcar","Gtm","Date","Tm","Home","Opp","Rslt","Inngs","PA","AB","R","H","X2B","X3B","HR","RBI","BB","IBB","SO","HBP","SH","SF","ROE","GDP","SB","CS","BA","OBP","SLG","OPS","BOP","aLI","WPA","RE24","Pos","DELTAAVG"
"2111","jeterde01",2003,"1112","56","Jun 1, 2003","NYY","@","DET","W,10-9","CG(17)","8","8","1","1","0","0","1","2","0","0","0","0","0","0","1","0","0","0",0.298,".337",".512",".849","1","1.40","0.037","0.67","SS",-0.018
"226","jeterde01",2003,"1113","57","Jun 3, 2003","NYY","@","CIN","L,3-4","CG","5","5","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.292,".330",".494",".824","1","1.19","-0.044","-0.50","SS",-0.00600000000000001
"236","jeterde01",2003,"1114","58","Jun 4, 2003","NYY","@","CIN","L,2-6","CG","4","4","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.29,".327",".484",".810","1",".78","-0.022","-0.24","SS",-0.002
"245","jeterde01",2003,"1115","59","Jun 5, 2003","NYY","@","CIN","W,10-2","CG","6","5","1","1","1","0","0","0","1","0","1","0","0","0","0","0","1","0",0.286,".327",".480",".807","2",".48","0.018","-0.43","SS",-0.004
"257","jeterde01",2003,"1116","60","Jun 6, 2003","NYY","@","CHC","W,5-3","CG","5","4","1","2","0","0","0","0","1","0","2","0","0","0","0","0","0","1",0.294,".339",".480",".820","2",".64","0.053","0.57","SS",0.00800000000000001
"267","jeterde01",2003,"1117","61","Jun 7, 2003","NYY","@","CHC","L,2-5","CG","4","3","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0",0.286,".336",".467",".803","2","1.23","0.005","-0.19","SS",-0.00800000000000001
"277","jeterde01",2003,"1118","62","Jun 8, 2003","NYY","@","CHC","L,7-8","CG","5","4","1","0","0","0","0","0","1","0","3","0","0","0","0","1","0","0",0.275,".331",".450",".780","2",".77","-0.115","-1.33","SS",-0.011
"285","jeterde01",2003,"1119","63","Jun 10, 2003","NYY","H","HOU","W,5-3","CG","4","3","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0",0.268,".328",".438",".765","2",".75","-0.034","-0.43","SS",-0.00700000000000001
"297","jeterde01",2003,"1120","64","Jun 11, 2003","NYY","H","HOU","L,0-8","CG","4","3","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0",0.261,".325",".426",".751","2",".50","-0.019","-0.47","SS",-0.00700000000000001
"307","jeterde01",2003,"1121","65","Jun 12, 2003","NYY","H","HOU","W,6-5","CG","5","5","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.258,".321",".417",".737","2","1.29","-0.077","-0.87","SS",-0.003
"3112","jeterde01",2003,"1122","66","Jun 13, 2003","NYY","H","STL","W,5-2","CG","4","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.258,".319",".411",".730","2",".74","-0.040","-0.72","SS",0
"328","jeterde01",2003,"1123","67","Jun 14, 2003","NYY","H","STL","W,13-4","CG","5","5","2","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0",0.264,".321",".419",".740","2",".46","0.028","0.29","SS",0.00600000000000001
"337","jeterde01",2003,"1124","68","Jun 15, 2003","NYY","H","STL","W,5-2","CG","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",0.256,".313",".406",".719","2",".82","-0.070","-0.95","SS",-0.00800000000000001
"347","jeterde01",2003,"1125","69","Jun 17, 2003","NYY","H","TBD","L,2-11","GS-9","4","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.248,".304",".394",".698","2",".40","-0.040","-0.63","SS",-0.00800000000000001
"357","jeterde01",2003,"1126","70","Jun 17, 2003","NYY","H","TBD","W,10-2","CG","5","5","1","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0",0.246,".301",".394",".695","2",".65","-0.048","0.25","SS",-0.002
"367","jeterde01",2003,"1127","71","Jun 18, 2003","NYY","H","TBD","W,1-0","CG(12)","5","4","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0",0.247,".304",".397",".701","2","1.69","-0.116","-0.52","SS",0.001
"377","jeterde01",2003,"1128","72","Jun 20, 2003","NYY","@","NYM","W,5-0","CG","5","5","2","3","0","0","1","1","0","0","0","0","0","0","0","0","1","0",0.258,".313",".424",".737","2",".44","0.091","1.43","SS",0.011
"387","jeterde01",2003,"1129","73","Jun 22, 2003","NYY","@","NYM","W,7-3","CG(11)","6","5","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.263,".320",".423",".743","2","1.43","0.108","0.61","SS",0.005
"396","jeterde01",2003,"1130","74","Jun 23, 2003","NYY","@","TBD","L,2-4","CG","4","3","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0",0.258,".318",".415",".733","2","1.25","-0.121","-0.76","SS",-0.005
"407","jeterde01",2003,"1131","75","Jun 24, 2003","NYY","@","TBD","W,10-9","CG","6","3","3","2","0","0","0","0","1","0","0","1","1","0","0","0","0","0",0.265,".331",".420",".751","2","1.07","0.072","0.38","SS",0.00700000000000001
"4111","jeterde01",2003,"1132","76","Jun 25, 2003","NYY","@","TBD","W,8-5","CG","5","4","2","2","0","0","0","2","1","0","0","0","0","0","0","0","0","0",0.271,".339",".422",".760","2","1.10","0.214","1.93","SS",0.00600000000000001
"428","jeterde01",2003,"1133","77","Jun 26, 2003","NYY","@","TBD","W,4-3","CG","5","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.263,".330",".409",".739","1",".67","-0.088","-1.48","SS",-0.00800000000000001
"437","jeterde01",2003,"1134","78","Jun 27, 2003","NYY","H","NYM","W,6-4","CG","5","4","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0",0.257,".326",".400",".726","2","1.17","-0.032","-0.86","SS",-0.00600000000000001
"447","jeterde01",2003,"1135","79","Jun 28, 2003","NYY","H","NYM","W,7-1","CG","5","5","1","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.267,".333",".406",".739","2",".41","0.058","0.36","SS",0.01
"457","jeterde01",2003,"1136","80","Jun 28, 2003","NYY","@","NYM","W,9-8","CG","5","4","2","1","0","0","1","1","1","0","2","0","0","0","0","0","0","0",0.266,".335",".418",".753","2",".39","0.089","0.74","SS",-0.001
"467","jeterde01",2003,"1137","81","Jun 29, 2003","NYY","H","NYM","W,5-3","CG","5","5","1","3","0","0","0","0","0","0","1","0","0","0","1","0","0","0",0.275,".341",".423",".765","2",".77","0.076","0.96","SS",0.00900000000000001
"477","jeterde01",2003,"1138","82","Jun 30, 2003","NYY","@","BAL","W,6-5","CG","5","5","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.278,".343",".423",".765","2","1.02","0.032","-0.14","SS",0.003
"496","jeterde01",2003,"1139","83","Jul 1, 2003","NYY","@","BAL","L,3-7","CG","5","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1",0.281,".344",".422",".766","2",".85","-0.030","-0.54","SS",0.003
"506","jeterde01",2003,"1140","84","Jul 4, 2003","NYY","H","BOS","L,3-10","CG","5","4","0","2","0","0","0","0","1","0","0","0","0","0","0","0","1","0",0.286,".350",".424",".773","2",".81","0.040","0.93","SS",0.00499999999999995
"5111","jeterde01",2003,"1141","85","Jul 5, 2003","NYY","H","BOS","L,2-10","CG","5","5","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.288,".351",".423",".774","2",".48","0.033","-0.11","SS",0.002
"527","jeterde01",2003,"1142","86","Jul 6, 2003","NYY","H","BOS","W,7-1","CG","5","4","1","3","1","0","0","1","0","0","0","1","0","0","0","0","0","0",0.297,".361",".434",".794","2",".80","0.038","1.57","SS",0.00900000000000001
"537","jeterde01",2003,"1143","87","Jul 7, 2003","NYY","H","BOS","W,2-1","GS-3","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",0.297,".363",".434",".797","2",".66","0.026","0.27","SS",0
"547","jeterde01",2003,"1144","88","Jul 8, 2003","NYY","@","CLE","L,0-4","9-GF","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.296,".362",".432",".794","8",".36","-0.009","-0.25","PH",-0.001
"557","jeterde01",2003,"1145","89","Jul 9, 2003","NYY","@","CLE","W,6-2","CG","5","5","1","4","1","0","0","2","0","0","1","0","0","0","0","0","0","0",0.307,".371",".445",".816","2",".62","0.119","3.39","SS",0.011
"566","jeterde01",2003,"1146","90","Jul 10, 2003","NYY","@","CLE","L,2-3","CG(10)","5","3","1","2","1","0","0","0","1","0","1","1","0","0","0","0","0","0",0.312,".380",".452",".832","2","1.18","0.194","1.16","SS",0.005
"576","jeterde01",2003,"1147","91","Jul 11, 2003","NYY","@","TOR","W,8-5","CG","5","4","2","2","0","0","0","2","1","0","1","0","0","0","0","0","0","0",0.316,".384",".453",".837","2",".90","0.067","0.77","SS",0.004
"587","jeterde01",2003,"1148","92","Jul 12, 2003","NYY","@","TOR","L,3-10","CG","4","3","1","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0",0.316,".383",".452",".835","2",".74","-0.029","-0.34","SS",0
"597","jeterde01",2003,"1149","93","Jul 13, 2003","NYY","@","TOR","W,6-2","CG","5","3","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",0.316,".388",".450",".838","2",".54","0.041","0.58","SS",0
"607","jeterde01",2003,"1150","94","Jul 17, 2003","NYY","H","CLE","W,5-4","CG","4","3","1","1","0","0","1","2","1","0","0","0","0","0","0","0","0","0",0.316,".389",".462",".851","2","1.25","0.353","1.54","SS",0
"6112","jeterde01",2003,"1151","95","Jul 18, 2003","NYY","H","CLE","W,10-4","CG","5","5","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.31,".382",".452",".834","2",".53","-0.067","-1.30","SS",-0.00600000000000001
"628","jeterde01",2003,"1152","96","Jul 19, 2003","NYY","H","CLE","W,7-4","CG","4","4","2","2","1","0","0","1","0","0","1","0","0","0","0","0","0","0",0.313,".384",".457",".841","2","1.27","0.140","2.10","SS",0.003
"637","jeterde01",2003,"1153","97","Jul 20, 2003","NYY","H","CLE","W,7-4","CG","5","5","1","3","2","0","0","1","0","0","1","0","0","0","0","0","0","0",0.319,".388",".468",".855","2",".59","0.072","1.31","SS",0.00600000000000001
"647","jeterde01",2003,"1154","98","Jul 21, 2003","NYY","H","TOR","L,0-8","CG(8)","3","3","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0",0.319,".387",".466",".853","2",".85","-0.008","-0.31","SS",0
"656","jeterde01",2003,"1155","99","Jul 23, 2003","NYY","H","BAL","W,4-2","CG","4","4","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0",0.318,".385",".463",".848","2","1.01","0.069","0.17","SS",-0.001
"667","jeterde01",2003,"1156","100","Jul 24, 2003","NYY","H","BAL","L,3-5","CG","4","3","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0",0.318,".387",".461",".848","2",".66","0.009","0.23","SS",0
"676","jeterde01",2003,"1157","101","Jul 25, 2003","NYY","@","BOS","W,4-3","CG","5","2","0","0","0","0","0","1","2","0","0","0","0","1","0","0","0","0",0.315,".387",".458",".845","2","1.97","0.140","0.36","SS",-0.003
"687","jeterde01",2003,"1158","102","Jul 26, 2003","NYY","@","BOS","L,4-5","CG","5","5","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0",0.317,".387",".460",".848","2","1.19","-0.101","-1.33","SS",0.002
"697","jeterde01",2003,"1159","103","Jul 27, 2003","NYY","@","BOS","L,4-6","CG","5","4","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.32,".391",".461",".852","2",".82","0.050","0.86","SS",0.003
"707","jeterde01",2003,"1160","104","Jul 29, 2003","NYY","@","ANA","W,6-2","CG","5","5","1","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.325,".394",".464",".858","2",".32","0.030","0.44","SS",0.005
"7111","jeterde01",2003,"1161","105","Jul 30, 2003","NYY","@","ANA","W,8-0","CG","5","4","1","1","1","0","0","0","1","0","2","0","0","0","0","0","0","0",0.324,".394",".464",".858","1",".46","0.036","-0.23","SS",-0.001
"728","jeterde01",2003,"1162","106","Jul 31, 2003","NYY","@","ANA","W,2-1","CG(10)","5","3","0","1","0","0","0","1","2","0","0","0","0","0","0","1","0","0",0.324,".397",".463",".860","2","1.94","-0.004","0.63","SS",0
"747","jeterde01",2003,"1163","107","Aug 1, 2003","NYY","@","OAK","L,2-3","CG(10)","5","4","0","1","1","0","0","1","0","0","1","0","1","0","0","0","0","0",0.323,".396",".463",".859","1","1.98","-0.099","-0.17","SS",-0.001
"757","jeterde01",2003,"1164","108","Aug 2, 2003","NYY","@","OAK","W,10-7","CG","5","5","2","2","0","0","0","1","0","0","0","0","0","0","0","1","0","0",0.324,".396",".462",".858","1",".73","0.106","0.10","SS",0.001
"767","jeterde01",2003,"1165","109","Aug 3, 2003","NYY","@","OAK","L,1-2","CG","4","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.323,".394",".459",".853","1",".92","-0.031","-0.28","SS",-0.001
"775","jeterde01",2003,"1166","110","Aug 5, 2003","NYY","H","TEX","W,6-2","CG","4","4","2","2","0","0","2","3","0","0","0","0","0","0","0","1","0","0",0.326,".395",".480",".875","1",".49","0.221","1.81","SS",0.003
"787","jeterde01",2003,"1167","111","Aug 6, 2003","NYY","H","TEX","L,4-5","CG","5","4","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0",0.325,".395",".477",".872","1","1.33","-0.078","-0.29","SS",-0.001
"797","jeterde01",2003,"1168","112","Aug 7, 2003","NYY","H","TEX","W,7-5","CG","5","4","1","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0",0.327,".398",".477",".875","1",".93","0.120","0.74","SS",0.002
"807","jeterde01",2003,"1169","113","Aug 8, 2003","NYY","H","SEA","W,9-7","CG","5","5","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","1",0.325,".395",".473",".868","3",".71","-0.099","-1.45","SS",-0.002
"8111","jeterde01",2003,"1170","114","Aug 9, 2003","NYY","H","SEA","L,1-2","CG","3","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.322,".392",".468",".860","3",".88","-0.067","-0.46","SS",-0.003
"828","jeterde01",2003,"1171","115","Aug 10, 2003","NYY","H","SEA","L,6-8","CG","5","5","1","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0",0.326,".395",".480",".875","3","1.63","0.026","1.18","SS",0.004
"837","jeterde01",2003,"1172","116","Aug 11, 2003","NYY","@","KCR","L,9-12","CG","5","5","3","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0",0.324,".392",".478",".871","3",".94","-0.125","-0.76","SS",-0.002
"846","jeterde01",2003,"1173","117","Aug 12, 2003","NYY","@","KCR","W,6-0","CG","5","5","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",0.322,".390",".474",".864","2",".44","0.004","-0.31","SS",-0.002
"857","jeterde01",2003,"1174","118","Aug 13, 2003","NYY","@","KCR","L,0-11","CG","4","3","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0",0.322,".391",".473",".864","2",".55","-0.040","-0.16","SS",0
"867","jeterde01",2003,"1175","119","Aug 14, 2003","NYY","@","BAL","W,8-5","CG","5","4","2","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0",0.321,".391",".473",".864","2","1.40","0.007","-0.08","SS",-0.001
"877","jeterde01",2003,"1176","120","Aug 15, 2003","NYY","@","BAL","W,6-4","CG","6","4","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0",0.321,".393",".471",".863","2",".81","-0.039","-0.25","SS",0
"887","jeterde01",2003,"1177","121","Aug 16, 2003","NYY","@","BAL","W,5-4","CG(12)","6","6","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.318,".389",".465",".854","3","1.45","-0.191","-0.96","SS",-0.003
"897","jeterde01",2003,"1178","122","Aug 17, 2003","NYY","@","BAL","W,8-0","CG","5","5","2","3","0","0","0","1","0","0","1","0","0","0","0","0","0","1",0.322,".392",".467",".859","3",".67","0.090","1.02","SS",0.004
"907","jeterde01",2003,"1179","123","Aug 18, 2003","NYY","H","KCR","W,11-6","CG","5","5","2","2","0","1","0","0","0","0","0","0","0","0","1","0","1","0",0.323,".392",".472",".864","3",".43","0.094","0.84","SS",0.001
"9112","jeterde01",2003,"1180","124","Aug 19, 2003","NYY","H","KCR","W,6-3","CG","4","4","1","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0",0.322,".391",".472",".863","3",".61","-0.047","-1.78","SS",-0.001
"927","jeterde01",2003,"1181","125","Aug 20, 2003","NYY","H","KCR","W,8-7","CG","5","5","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0",0.321,".388",".468",".857","2",".93","0.075","-0.23","SS",-0.001
"937","jeterde01",2003,"1182","126","Aug 22, 2003","NYY","H","BAL","L,3-4","CG","4","4","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0",0.322,".389",".469",".858","3",".87","0.076","0.28","SS",0.001
"947","jeterde01",2003,"1183","127","Aug 23, 2003","NYY","H","BAL","L,2-7","CG","4","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.319,".386",".464",".849","3",".53","-0.055","-0.64","SS",-0.003
"956","jeterde01",2003,"1184","128","Aug 24, 2003","NYY","H","BAL","W,7-0","CG","5","5","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0",0.317,".383",".460",".844","2",".46","0.046","0.66","SS",-0.002
"967","jeterde01",2003,"1185","129","Aug 25, 2003","NYY","H","BAL","W,5-2","CG","5","3","0","1","0","0","0","1","2","1","0","0","0","0","0","0","0","0",0.318,".386",".459",".845","2",".77","0.099","0.91","SS",0.001
"977","jeterde01",2003,"1186","130","Aug 26, 2003","NYY","H","CHW","L,2-13","CG","4","4","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0",0.317,".385",".457",".842","3",".34","-0.038","1.15","SS",-0.001
"987","jeterde01",2003,"1187","131","Aug 27, 2003","NYY","H","CHW","L,2-11","CG","4","4","0","2","0","0","0","1","0","0","2","0","0","0","0","0","0","0",0.319,".386",".458",".843","3",".77","0.036","0.24","SS",0.002
"997","jeterde01",2003,"1188","132","Aug 28, 2003","NYY","H","CHW","W,7-5","CG","4","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.316,".384",".454",".839","3",".87","0.038","0.08","SS",-0.003
"1007","jeterde01",2003,"1189","133","Aug 29, 2003","NYY","@","BOS","L,5-10","CG","5","4","1","2","1","0","0","0","1","0","1","0","0","0","0","0","0","0",0.318,".387",".457",".844","2",".57","0.066","0.13","SS",0.002
"10111","jeterde01",2003,"1190","134","Aug 30, 2003","NYY","@","BOS","W,10-7","CG","5","4","2","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0",0.32,".389",".460",".849","1",".95","-0.018","-0.00","SS",0.002
"1028","jeterde01",2003,"1191","135","Aug 31, 2003","NYY","@","BOS","W,8-4","GS-7","4","4","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.322,".390",".460",".851","1",".68","0.045","0.58","SS",0.002
"1047","jeterde01",2003,"1192","141 (5)","Sep 7, 2003","NYY","H","BOS","W,3-1","CG","4","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0",0.322,".391",".459",".851","3",".92","-0.025","0.04","SS",0
"1056","jeterde01",2003,"1193","142","Sep 8, 2003","NYY","H","TOR","W,9-3","CG","5","5","2","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0",0.325,".393",".461",".855","3",".84","0.106","1.86","SS",0.003
"1066","jeterde01",2003,"1194","143","Sep 9, 2003","NYY","H","DET","W,4-2","CG","4","4","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.325,".392",".459",".851","3","1.40","-0.057","-0.67","SS",0
"1077","jeterde01",2003,"1195","144","Sep 10, 2003","NYY","H","DET","W,15-5","GS-8","5","4","1","1","0","0","0","1","0","0","2","1","0","0","0","0","0","0",0.324,".392",".457",".849","3",".71","-0.001","0.44","SS",-0.001
"1085","jeterde01",2003,"1196","145","Sep 11, 2003","NYY","H","DET","W,5-2","CG","4","4","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0",0.325,".393",".458",".851","3",".73","0.000","-0.60","SS",0.001
"1097","jeterde01",2003,"1197","146","Sep 12, 2003","NYY","H","TBD","W,10-4","GS-7","4","4","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.325,".392",".456",".848","3",".73","-0.052","-1.14","SS",0
"1107","jeterde01",2003,"1198","147","Sep 13, 2003","NYY","H","TBD","W,6-5","CG","4","2","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0",0.323,".393",".453",".846","3",".77","-0.001","0.10","SS",-0.002
"11112","jeterde01",2003,"1199","148","Sep 13, 2003","NYY","H","TBD","W,6-3","CG","4","2","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","1",0.324,".396",".454",".850","1","1.00","-0.019","-0.08","SS",0.001
"1128","jeterde01",2003,"1200","149","Sep 14, 2003","NYY","H","TBD","L,2-5","CG","4","4","1","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0",0.323,".395",".459",".853","3","1.35","0.181","0.83","SS",-0.001
"1137","jeterde01",2003,"1201","150","Sep 15, 2003","NYY","@","BAL","W,13-1","GS-8","4","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.323,".394",".457",".850","3",".50","-0.044","0.04","SS",0
"1147","jeterde01",2003,"1202","151","Sep 16, 2003","NYY","@","BAL","W,6-3","CG","5","5","1","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0",0.324,".394",".458",".852","3",".91","-0.019","0.19","SS",0.001
"1157","jeterde01",2003,"1203","152","Sep 17, 2003","NYY","@","BAL","L,3-5","CG","4","4","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.323,".392",".457",".849","3",".90","-0.069","-0.75","SS",-0.001
"1167","jeterde01",2003,"1204","153","Sep 18, 2003","NYY","@","BAL","T,1-1","CG(5)","3","3","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.323,".392",".456",".848","3","1.44","-0.013","-0.18","SS",0
"1177","jeterde01",2003,"1205","154","Sep 19, 2003","NYY","@","TBD","W,2-1","CG","4","4","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.322,".391",".454",".845","3",".77","-0.033","-0.49","SS",-0.001
"1187","jeterde01",2003,"1206","155","Sep 20, 2003","NYY","@","TBD","W,7-1","GS-9","5","3","2","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0",0.325,".395",".455",".850","3",".75","0.081","1.22","SS",0.003
"1197","jeterde01",2003,"1207","157 (1)","Sep 22, 2003","NYY","@","CHW","L,3-6","CG(10)","5","5","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0",0.323,".393",".453",".846","3","2.68","-0.268","-1.74","SS",-0.002
"1207","jeterde01",2003,"1208","158","Sep 23, 2003","NYY","@","CHW","W,7-0","CG","5","4","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0",0.323,".393",".451",".844","3",".64","-0.015","-0.12","SS",0
"12112","jeterde01",2003,"1209","159","Sep 24, 2003","NYY","@","CHW","L,4-9","CG","4","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.32,".390",".447",".837","3",".34","-0.036","-0.67","SS",-0.003
"1228","jeterde01",2003,"1210","160","Sep 26, 2003","NYY","H","BAL","W,11-2","GS-8","4","3","2","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0",0.322,".393",".451",".843","3",".21","0.023","0.78","SS",0.002
"1236","jeterde01",2003,"1211","162 (1)","Sep 27, 2003","NYY","H","BAL","W,6-2","CG","4","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0",0.326,".396",".453",".849","3",".60","0.020","0.64","SS",0.004
"1247","jeterde01",2003,"1212","163","Sep 28, 2003","NYY","H","BAL","W,3-1","GS-7","3","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.324,".393",".450",".844","3",".62","-0.048","-0.53","SS",-0.002
"188","jeterde01",2004,"1213","1","Mar 30, 2004","NYY","@","TBD","L,3-8","CG","5","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0,".000",".000",".000","1",".69","-0.091","-1.26","SS",NA
"227","jeterde01",2004,"1214","2","Mar 31, 2004","NYY","@","TBD","W,12-1","CG","5","3","1","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0",0.125,".300",".125",".425","1",".63","-0.002","0.59","SS",0.125
"329","jeterde01",2004,"1215","3","Apr 6, 2004","NYY","@","TBD","L,4-9","CG","5","3","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0",0.091,".333",".091",".424","2",".75","-0.036","-0.31","SS",-0.034
"429","jeterde01",2004,"1216","4","Apr 7, 2004","NYY","@","TBD","W,3-2","CG","4","4","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0.2,".368",".267",".635","2","1.14","0.126","0.86","SS",0.109
"528","jeterde01",2004,"1217","5","Apr 8, 2004","NYY","H","CHW","W,3-1","CG","4","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.211,".348",".263",".611","1",".66","-0.053","-0.70","SS",0.011
"629","jeterde01",2004,"1218","6","Apr 9, 2004","NYY","H","CHW","L,3-9","CG","5","5","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0.208,".321",".250",".571","2",".78","-0.063","-1.17","SS",-0.003
"729","jeterde01",2004,"1219","7","Apr 10, 2004","NYY","H","CHW","L,3-7","CG","4","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.214,".313",".250",".563","1",".86","-0.064","-0.64","SS",0.00600000000000001
"829","jeterde01",2004,"1220","8","Apr 11, 2004","NYY","H","CHW","W,5-4","CG","4","4","1","2","1","0","0","0","0","0","0","0","0","0","1","0","1","0",0.25,".333",".313",".646","1",".85","0.133","1.46","SS",0.036
"928","jeterde01",2004,"1221","9","Apr 14, 2004","NYY","H","TBD","W,5-1","CG","4","4","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0.25,".325",".333",".658","1",".47","0.011","0.00","SS",0
"1029","jeterde01",2004,"1222","10","Apr 16, 2004","NYY","@","BOS","L,2-6","CG","5","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.244,".311",".317",".628","2",".67","-0.028","-0.70","SS",-0.00600000000000001
"1129","jeterde01",2004,"1223","11","Apr 17, 2004","NYY","@","BOS","L,2-5","CG","5","5","0","1","0","0","0","1","0","0","3","0","0","0","0","0","0","0",0.239,".300",".304",".604","1",".80","-0.096","-0.06","SS",-0.005
"1229","jeterde01",2004,"1224","12","Apr 18, 2004","NYY","@","BOS","W,7-3","CG","6","4","0","2","0","0","0","2","2","0","0","0","0","0","0","0","0","0",0.26,".339",".320",".659","1",".64","0.106","1.53","SS",0.021
"1328","jeterde01",2004,"1225","13","Apr 19, 2004","NYY","@","BOS","L,4-5","CG","5","4","0","0","0","0","0","0","0","0","1","1","0","0","2","0","0","0",0.241,".328",".296",".624","1","1.16","-0.051","0.34","SS",-0.019
"1428","jeterde01",2004,"1226","14","Apr 20, 2004","NYY","@","CHW","W,11-8","CG","6","5","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0",0.237,".318",".288",".606","1",".60","-0.044","-1.70","SS",-0.004
"1528","jeterde01",2004,"1227","15","Apr 21, 2004","NYY","@","CHW","W,3-1","CG","4","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.222,".300",".270",".570","2",".99","-0.101","-1.02","SS",-0.015
